사업장 명칭,방류구,측정일시,측정방법,수소이온농도,총유기탄소(㎎/L),부유물질(㎎/L),총질소(㎎/L),총인(㎎/L),유량(㎥/s),24시간 평균치,일일 평균 농도,일일 배출량,초과오염물질,초과농도,초과량,초과시간,배출허용기준,방류수수질기준
데모섬유공업(주),1배출구,2026-03-05 06:00,자동측정기기,7.8,20.0,5.2,29.3,2.4,0.016,11.8,15.2,222.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-06 18:00,자동측정기기,8.5,13.3,8.1,42.3,6.2,0.038,8.8,7.0,345.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-07 06:00,자동측정기기,7.1,7.1,12.0,21.2,2.3,0.025,11.5,21.1,175.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-08 12:00,자동측정기기,7.0,3.5,23.1,8.7,6.3,0.048,18.5,11.8,138.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-09 06:00,자동측정기기,8.0,8.9,26.2,29.3,4.7,0.023,3.0,20.7,399.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-10 00:00,자동측정기기,6.8,11.8,17.5,7.3,4.2,0.046,14.0,11.8,59.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-11 18:00,자동측정기기,6.6,2.6,26.3,37.0,5.2,0.047,11.7,20.3,249.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-12 18:00,자동측정기기,7.9,15.9,16.9,54.7,4.3,0.041,11.7,14.4,106.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-13 06:00,자동측정기기,7.9,15.7,11.5,16.0,3.5,0.009,10.9,20.0,200.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-14 18:00,자동측정기기,6.9,17.6,4.4,38.6,1.9,0.036,18.3,10.7,96.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-15 00:00,자동측정기기,6.9,23.2,5.6,10.0,2.5,0.014,15.8,20.7,116.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-16 12:00,자동측정기기,6.5,12.8,26.2,37.9,5.7,0.03,13.4,6.4,208.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-17 00:00,자동측정기기,7.5,10.0,22.7,32.1,4.1,0.009,6.4,9.3,276.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-18 06:00,자동측정기기,6.5,6.0,11.9,48.4,2.1,0.031,19.3,8.6,392.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-19 18:00,자동측정기기,8.1,19.6,23.2,41.2,0.8,0.006,5.1,6.4,312.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-20 06:00,자동측정기기,7.0,20.8,13.7,54.8,4.5,0.015,19.9,8.4,78.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-21 12:00,자동측정기기,6.7,16.0,20.3,19.6,4.7,0.048,21.1,7.1,192.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-22 12:00,자동측정기기,7.9,20.0,26.0,48.8,3.0,0.017,2.8,14.3,193.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-23 12:00,자동측정기기,6.7,16.9,13.6,26.1,4.7,0.032,3.0,16.0,133.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-24 18:00,자동측정기기,7.8,16.4,6.6,42.6,6.4,0.034,13.5,4.8,339.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-25 12:00,자동측정기기,8.3,20.6,15.9,48.0,1.1,0.024,6.6,11.1,67.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-02 18:00,자동측정기기,6.6,16.5,17.8,39.0,3.0,0.006,2.2,12.6,126.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-03 06:00,자동측정기기,7.8,2.6,9.2,25.9,1.5,0.049,11.8,2.8,177.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-04 00:00,자동측정기기,6.6,16.1,9.8,10.7,2.9,0.004,18.5,7.2,389.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-05 06:00,자동측정기기,8.1,17.1,13.6,5.1,2.9,0.035,15.3,19.4,279.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-06 18:00,자동측정기기,7.5,23.9,16.6,9.5,6.4,0.005,3.6,14.1,311.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-07 06:00,자동측정기기,7.1,14.9,18.7,35.7,6.2,0.05,21.5,19.7,116.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-08 18:00,자동측정기기,7.8,7.0,12.1,45.8,2.7,0.043,9.2,18.9,288.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-09 18:00,자동측정기기,7.5,18.4,13.1,25.9,4.4,0.03,4.1,2.8,233.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-10 18:00,자동측정기기,7.0,12.8,23.5,22.6,0.9,0.048,17.7,20.9,170.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-11 00:00,자동측정기기,8.1,11.2,24.3,47.9,0.9,0.029,2.3,20.8,99.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-12 00:00,자동측정기기,7.7,10.4,10.1,18.6,4.6,0.043,14.5,12.8,283.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-13 00:00,자동측정기기,6.9,22.5,3.1,15.9,2.1,0.027,18.8,8.4,48.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-14 18:00,자동측정기기,7.9,5.0,15.5,31.1,4.3,0.015,3.2,2.5,286.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-15 18:00,자동측정기기,7.9,16.5,15.7,6.7,5.4,0.012,2.8,7.4,190.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-16 00:00,자동측정기기,8.1,8.4,15.0,25.1,4.4,0.036,8.1,5.1,256.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-17 00:00,자동측정기기,7.9,21.8,18.0,45.9,2.7,0.02,14.7,20.9,250.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-18 12:00,자동측정기기,7.8,21.9,9.2,20.5,4.1,0.002,5.1,6.7,351.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-19 12:00,자동측정기기,8.1,21.9,23.2,37.4,0.8,0.032,7.5,6.7,135.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-20 18:00,자동측정기기,7.7,18.9,4.3,53.9,3.5,0.037,4.0,15.4,281.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-21 06:00,자동측정기기,6.6,10.4,21.5,20.5,1.9,0.034,8.6,19.9,316.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-22 00:00,자동측정기기,7.0,12.1,18.2,52.9,6.1,0.024,9.5,16.8,178.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-23 18:00,자동측정기기,7.9,6.6,10.3,28.8,1.4,0.037,7.5,3.9,310.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-24 12:00,자동측정기기,7.4,6.3,19.1,5.0,2.6,0.045,6.0,13.3,73.0,,,,,25.0,20.0
데모화학(주),1배출구,2026-03-25 00:00,자동측정기기,6.9,10.9,5.1,27.6,4.6,0.041,6.6,4.3,310.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-02 18:00,자동측정기기,6.8,20.9,27.3,12.0,1.2,0.023,5.1,15.8,40.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-03 00:00,자동측정기기,8.1,6.5,6.6,31.6,1.9,0.036,3.7,6.2,332.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-04 18:00,자동측정기기,6.8,16.3,18.3,25.6,6.3,0.021,12.2,21.2,346.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-05 06:00,자동측정기기,6.7,3.1,14.1,5.4,2.5,0.019,21.5,18.7,232.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-06 12:00,자동측정기기,6.9,20.5,27.0,20.8,3.2,0.001,2.1,20.5,141.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-07 18:00,자동측정기기,7.4,23.6,6.2,53.8,0.4,0.044,17.2,20.3,190.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-08 18:00,자동측정기기,7.6,18.9,4.6,8.3,5.1,0.028,9.6,3.5,61.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-09 00:00,자동측정기기,6.7,21.6,27.2,14.5,2.7,0.036,4.7,17.0,82.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-10 06:00,자동측정기기,8.0,15.6,5.5,38.2,3.6,0.046,20.5,5.9,187.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-11 06:00,자동측정기기,7.9,3.3,7.6,9.8,1.4,0.047,3.4,15.8,249.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-12 00:00,자동측정기기,8.2,11.4,27.7,34.6,4.2,0.012,16.9,13.9,112.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-13 06:00,자동측정기기,6.8,15.6,6.8,34.5,0.6,0.026,12.0,14.9,246.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-14 12:00,자동측정기기,6.5,14.8,12.1,45.8,3.6,0.017,3.5,13.0,266.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-15 00:00,자동측정기기,7.8,5.6,6.0,53.1,2.7,0.043,17.1,15.6,292.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-16 00:00,자동측정기기,6.8,16.2,23.5,42.3,4.1,0.037,6.3,12.4,104.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-17 06:00,자동측정기기,8.5,18.5,27.1,18.2,5.4,0.045,13.1,5.1,271.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-18 06:00,자동측정기기,7.3,11.1,3.9,10.1,2.9,0.021,20.6,11.3,311.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-19 12:00,자동측정기기,7.5,17.8,14.3,30.3,4.1,0.027,5.3,10.5,342.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-20 12:00,자동측정기기,6.7,23.9,16.6,41.5,4.5,0.021,8.1,2.4,385.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-21 06:00,자동측정기기,6.6,15.9,22.6,17.3,5.7,0.031,17.9,21.9,148.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-22 18:00,자동측정기기,7.8,19.3,11.3,22.5,6.0,0.002,18.2,18.0,141.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-23 06:00,자동측정기기,7.4,3.5,13.4,54.9,5.0,0.002,2.9,16.5,204.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-24 18:00,자동측정기기,8.0,13.7,7.4,36.1,0.4,0.011,6.2,9.4,218.0,,,,,25.0,20.0
데모화학(주),2배출구,2026-03-25 12:00,자동측정기기,6.8,10.6,25.1,17.5,3.8,0.001,12.3,15.1,307.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-02 06:00,자동측정기기,6.9,8.5,7.8,32.2,5.9,0.04,6.0,12.6,396.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-03 18:00,자동측정기기,8.5,7.1,10.6,23.5,0.8,0.05,16.0,11.5,82.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-04 00:00,자동측정기기,8.2,6.1,6.5,18.4,4.0,0.007,4.3,11.0,242.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-05 18:00,자동측정기기,7.5,10.5,5.5,28.9,4.2,0.043,21.3,7.3,369.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-06 18:00,자동측정기기,6.7,12.4,20.3,33.9,6.6,0.016,9.9,8.4,163.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-07 18:00,자동측정기기,7.5,10.8,16.4,18.8,1.3,0.033,8.3,19.3,99.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-08 06:00,자동측정기기,8.1,8.5,9.8,34.4,4.4,0.049,7.0,20.8,41.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-09 18:00,자동측정기기,6.8,7.3,24.9,21.7,0.6,0.01,13.2,17.9,110.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-10 12:00,자동측정기기,6.9,20.3,7.6,21.4,4.1,0.024,14.8,7.2,349.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-11 00:00,자동측정기기,6.8,10.8,16.2,53.9,1.0,0.045,17.9,6.2,283.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-12 06:00,자동측정기기,8.5,22.8,12.9,21.1,3.5,0.038,9.9,2.7,278.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-13 18:00,자동측정기기,7.1,3.9,16.9,49.5,2.9,0.045,8.3,7.8,370.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-14 12:00,자동측정기기,6.6,9.6,25.6,46.4,5.9,0.04,9.3,19.4,49.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-15 18:00,자동측정기기,7.4,4.6,18.5,20.0,6.9,0.005,18.1,18.0,323.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-16 06:00,자동측정기기,6.7,6.3,18.9,10.9,6.1,0.042,10.4,17.2,142.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-17 06:00,자동측정기기,7.3,7.3,22.9,22.3,6.8,0.035,17.3,16.3,278.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-18 12:00,자동측정기기,6.9,8.9,21.4,20.2,0.7,0.049,15.3,4.1,237.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-19 00:00,자동측정기기,8.1,4.1,15.5,18.7,5.1,0.039,12.2,9.4,302.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-20 06:00,자동측정기기,7.5,17.8,19.5,23.1,1.6,0.024,7.2,7.8,93.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-21 00:00,자동측정기기,8.2,11.3,5.1,26.6,3.8,0.049,3.7,9.5,218.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-22 18:00,자동측정기기,8.3,4.0,22.8,53.0,6.2,0.028,17.4,18.7,332.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-23 00:00,자동측정기기,7.0,21.0,14.0,7.5,1.0,0.05,2.6,2.2,258.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-24 18:00,자동측정기기,7.9,14.5,8.7,46.5,0.4,0.027,8.4,15.0,182.0,,,,,25.0,20.0
데모화학(주),3배출구,2026-03-25 06:00,자동측정기기,8.2,9.6,20.4,22.3,5.3,0.04,20.1,4.1,327.0,,,,,25.0,20.0
