사업장 명칭,방류구,시료채취일,시료구분,측정대행업소명,수소이온농도,생물화학적산소요구량(㎎/L),생물화학적산소요구량 배출허용기준,화학적산소요구량(㎎/L),화학적산소요구량 배출허용기준,부유물질(㎎/L),부유물질 배출허용기준,총질소(㎎/L),총질소 배출허용기준,총인(㎎/L),총인 배출허용기준,총유기탄소(㎎/L),총유기탄소 배출허용기준
데모금속(주),2배출구,2026-03-02,방류수,데모환경분석(주),6.5,27.7,30.0,34.6,40.0,37.8,30.0,46.1,60.0,5.0,8.0,16.1,25.0
데모금속(주),2배출구,2026-03-09,원폐수,데모환경분석(주),7.1,29.1,30.0,84.8,40.0,33.8,30.0,39.6,60.0,5.0,8.0,81.0,25.0
데모금속(주),2배출구,2026-03-09,방류수,데모환경분석(주),6.9,27.4,30.0,26.1,40.0,18.6,30.0,25.0,60.0,4.9,8.0,12.0,25.0
데모금속(주),2배출구,2026-03-16,원폐수,데모환경분석(주),8.5,44.6,30.0,37.2,40.0,63.7,30.0,61.9,60.0,4.4,8.0,17.7,25.0
데모금속(주),2배출구,2026-03-16,방류수,데모환경분석(주),7.2,10.6,30.0,15.9,40.0,20.8,30.0,52.8,60.0,0.8,8.0,7.7,25.0
데모금속(주),2배출구,2026-03-23,원폐수,데모환경분석(주),7.2,39.7,30.0,74.8,40.0,93.6,30.0,100.0,60.0,6.6,8.0,62.1,25.0
데모금속(주),2배출구,2026-03-23,방류수,데모환경분석(주),8.5,28.0,30.0,7.7,40.0,7.3,30.0,33.8,60.0,6.4,8.0,12.7,25.0
데모금속(주),2배출구,2026-03-30,원폐수,데모환경분석(주),7.9,69.0,30.0,76.6,40.0,84.6,30.0,87.5,60.0,25.8,8.0,63.7,25.0
데모금속(주),2배출구,2026-03-30,방류수,데모환경분석(주),6.6,27.2,30.0,22.8,40.0,17.1,30.0,50.1,60.0,0.7,8.0,20.5,25.0
데모금속(주),2배출구,2026-04-06,원폐수,데모환경분석(주),7.4,98.9,30.0,73.7,40.0,37.0,30.0,142.0,60.0,11.4,8.0,81.9,25.0
데모금속(주),2배출구,2026-04-06,방류수,데모환경분석(주),6.9,11.5,30.0,14.6,40.0,27.2,30.0,40.5,60.0,5.5,8.0,22.0,25.0
데모금속(주),2배출구,2026-04-13,원폐수,데모환경분석(주),7.2,21.9,30.0,107.7,40.0,103.7,30.0,128.2,60.0,5.0,8.0,71.1,25.0
데모금속(주),2배출구,2026-04-13,방류수,데모환경분석(주),8.0,18.3,30.0,16.4,40.0,10.6,30.0,54.2,60.0,3.2,8.0,6.9,25.0
데모금속(주),2배출구,2026-04-20,원폐수,데모환경분석(주),7.1,9.6,30.0,95.2,40.0,86.7,30.0,219.0,60.0,4.8,8.0,64.8,25.0
데모금속(주),2배출구,2026-04-20,방류수,데모환경분석(주),6.6,32.1,30.0,24.5,40.0,17.0,30.0,19.9,60.0,5.5,8.0,18.6,25.0
데모섬유공업(주),1배출구,2026-03-02,원폐수,데모환경분석(주),7.1,78.6,30.0,134.4,40.0,74.4,30.0,180.4,60.0,13.8,8.0,79.8,25.0
데모섬유공업(주),1배출구,2026-03-02,방류수,데모환경분석(주),8.2,3.0,30.0,25.3,40.0,4.9,30.0,10.0,60.0,5.1,8.0,5.3,25.0
데모섬유공업(주),1배출구,2026-03-09,원폐수,데모환경분석(주),7.5,101.6,30.0,151.7,40.0,81.5,30.0,85.3,60.0,21.6,8.0,49.4,25.0
데모섬유공업(주),1배출구,2026-03-09,방류수,데모환경분석(주),7.3,20.5,30.0,28.2,40.0,9.2,30.0,37.2,60.0,5.8,8.0,32.8,25.0
데모섬유공업(주),1배출구,2026-03-16,원폐수,데모환경분석(주),7.8,49.5,30.0,37.6,40.0,70.7,30.0,157.0,60.0,9.5,8.0,19.3,25.0
데모섬유공업(주),1배출구,2026-03-16,방류수,데모환경분석(주),6.5,8.9,30.0,54.7,40.0,17.8,30.0,65.5,60.0,10.1,8.0,13.5,25.0
데모섬유공업(주),1배출구,2026-03-23,원폐수,데모환경분석(주),8.4,32.9,30.0,137.6,40.0,76.3,30.0,30.6,60.0,13.8,8.0,9.4,25.0
데모섬유공업(주),1배출구,2026-03-23,방류수,데모환경분석(주),8.2,13.2,30.0,37.4,40.0,18.5,30.0,8.7,60.0,6.9,8.0,8.7,25.0
데모섬유공업(주),1배출구,2026-03-30,원폐수,데모환경분석(주),8.0,62.7,30.0,128.9,40.0,38.9,30.0,44.6,60.0,13.7,8.0,43.5,25.0
데모섬유공업(주),1배출구,2026-03-30,방류수,데모환경분석(주),8.3,20.6,30.0,36.9,40.0,7.7,30.0,49.0,60.0,5.2,8.0,19.6,25.0
데모섬유공업(주),1배출구,2026-04-06,원폐수,데모환경분석(주),7.1,43.0,30.0,87.1,40.0,108.0,30.0,177.7,60.0,8.6,8.0,79.6,25.0
데모섬유공업(주),1배출구,2026-04-06,방류수,데모환경분석(주),8.0,27.5,30.0,12.5,40.0,18.1,30.0,25.2,60.0,6.5,8.0,6.3,25.0
데모섬유공업(주),1배출구,2026-04-13,원폐수,데모환경분석(주),6.9,23.7,30.0,135.8,40.0,82.3,30.0,28.1,60.0,25.0,8.0,24.5,25.0
데모섬유공업(주),1배출구,2026-04-13,방류수,데모환경분석(주),6.9,12.2,30.0,5.3,40.0,23.5,30.0,34.0,60.0,3.7,8.0,18.1,25.0
데모섬유공업(주),1배출구,2026-04-20,원폐수,데모환경분석(주),7.3,27.9,30.0,43.4,40.0,89.2,30.0,38.7,60.0,27.8,8.0,25.7,25.0
데모섬유공업(주),1배출구,2026-04-20,방류수,데모환경분석(주),7.8,3.2,30.0,5.2,40.0,26.1,30.0,33.5,60.0,5.8,8.0,4.8,25.0
데모화학(주),1배출구,2026-03-02,원폐수,데모환경분석(주),7.5,46.1,30.0,54.9,40.0,28.4,30.0,67.6,60.0,16.3,8.0,58.1,25.0
데모화학(주),1배출구,2026-03-02,방류수,데모환경분석(주),7.4,16.7,30.0,29.2,40.0,21.2,30.0,15.1,60.0,6.8,8.0,9.7,25.0
데모화학(주),1배출구,2026-03-09,원폐수,데모환경분석(주),7.3,62.9,30.0,99.5,40.0,98.3,30.0,140.4,60.0,26.6,8.0,6.1,25.0
데모화학(주),1배출구,2026-03-09,방류수,데모환경분석(주),7.5,27.0,30.0,22.9,40.0,13.4,30.0,31.0,60.0,2.5,8.0,14.9,25.0
데모화학(주),1배출구,2026-03-16,원폐수,데모환경분석(주),7.7,75.0,30.0,36.4,40.0,77.3,30.0,185.9,60.0,26.0,8.0,21.8,25.0
데모화학(주),1배출구,2026-03-16,방류수,데모환경분석(주),7.1,9.7,30.0,18.6,40.0,22.1,30.0,31.5,60.0,5.0,8.0,11.5,25.0
데모화학(주),1배출구,2026-03-23,원폐수,데모환경분석(주),7.3,102.3,30.0,136.4,40.0,10.8,30.0,200.5,60.0,18.8,8.0,82.4,25.0
데모화학(주),1배출구,2026-03-23,방류수,데모환경분석(주),7.8,31.9,30.0,36.4,40.0,15.4,30.0,47.0,60.0,1.7,8.0,15.4,25.0
데모화학(주),1배출구,2026-03-30,원폐수,데모환경분석(주),7.2,6.5,30.0,95.2,40.0,74.4,30.0,81.4,60.0,14.3,8.0,21.7,25.0
데모화학(주),1배출구,2026-03-30,방류수,데모환경분석(주),7.6,19.5,30.0,53.0,40.0,23.3,30.0,83.2,60.0,3.8,8.0,18.5,25.0
데모화학(주),1배출구,2026-04-06,원폐수,데모환경분석(주),8.1,26.0,30.0,146.6,40.0,107.1,30.0,99.9,60.0,18.1,8.0,13.8,25.0
데모화학(주),1배출구,2026-04-06,방류수,데모환경분석(주),8.1,15.3,30.0,51.1,40.0,7.5,30.0,19.0,60.0,5.0,8.0,9.6,25.0
데모화학(주),1배출구,2026-04-13,원폐수,데모환경분석(주),6.5,95.4,30.0,46.1,40.0,81.5,30.0,38.4,60.0,9.9,8.0,37.8,25.0
데모화학(주),1배출구,2026-04-13,방류수,데모환경분석(주),7.8,18.3,30.0,26.2,40.0,27.8,30.0,28.4,60.0,6.6,8.0,15.8,25.0
데모화학(주),1배출구,2026-04-20,원폐수,데모환경분석(주),6.5,35.6,30.0,95.7,40.0,40.6,30.0,102.2,60.0,24.8,8.0,52.2,25.0
데모화학(주),1배출구,2026-04-20,방류수,데모환경분석(주),7.0,25.7,30.0,33.0,40.0,19.4,30.0,48.9,60.0,6.3,8.0,3.2,25.0
데모화학(주),2배출구,2026-03-02,원폐수,데모환경분석(주),7.2,40.3,30.0,130.4,40.0,99.4,30.0,47.2,60.0,8.4,8.0,81.8,25.0
데모화학(주),2배출구,2026-03-02,방류수,데모환경분석(주),7.7,14.0,30.0,5.5,40.0,16.9,30.0,13.8,60.0,5.0,8.0,13.5,25.0
데모화학(주),2배출구,2026-03-09,원폐수,데모환경분석(주),6.6,50.6,30.0,25.7,40.0,25.5,30.0,75.7,60.0,1.7,8.0,27.9,25.0
데모화학(주),2배출구,2026-03-09,방류수,데모환경분석(주),7.0,5.0,30.0,19.6,40.0,8.8,30.0,26.1,60.0,3.1,8.0,19.7,25.0
데모화학(주),2배출구,2026-03-16,원폐수,데모환경분석(주),8.4,24.5,30.0,28.6,40.0,92.8,30.0,71.0,60.0,16.4,8.0,32.2,25.0
데모화학(주),2배출구,2026-03-16,방류수,데모환경분석(주),6.6,13.8,30.0,36.2,40.0,5.9,30.0,8.9,60.0,0.5,8.0,2.8,25.0
데모화학(주),2배출구,2026-03-23,원폐수,데모환경분석(주),7.9,36.9,30.0,87.7,40.0,111.7,30.0,218.9,60.0,27.9,8.0,74.9,25.0
데모화학(주),2배출구,2026-03-23,방류수,데모환경분석(주),6.7,27.5,30.0,21.6,40.0,17.2,30.0,27.2,60.0,3.2,8.0,6.9,25.0
데모화학(주),2배출구,2026-03-30,원폐수,데모환경분석(주),7.0,7.9,30.0,104.8,40.0,52.7,30.0,119.1,60.0,10.8,8.0,47.9,25.0
데모화학(주),2배출구,2026-03-30,방류수,데모환경분석(주),7.9,17.8,30.0,32.5,40.0,21.5,30.0,18.5,60.0,2.1,8.0,16.7,25.0
데모화학(주),2배출구,2026-04-06,원폐수,데모환경분석(주),6.8,102.8,30.0,103.1,40.0,33.0,30.0,130.1,60.0,6.6,8.0,18.2,25.0
데모화학(주),2배출구,2026-04-06,방류수,데모환경분석(주),8.2,23.1,30.0,31.8,40.0,20.4,30.0,34.9,60.0,3.6,8.0,4.7,25.0
데모화학(주),2배출구,2026-04-13,원폐수,데모환경분석(주),6.9,58.4,30.0,65.5,40.0,49.7,30.0,159.3,60.0,20.6,8.0,72.9,25.0
데모화학(주),2배출구,2026-04-13,방류수,데모환경분석(주),7.7,4.4,30.0,10.9,40.0,12.0,30.0,12.7,60.0,2.4,8.0,15.4,25.0
데모화학(주),2배출구,2026-04-20,원폐수,데모환경분석(주),7.3,83.9,30.0,44.2,40.0,95.6,30.0,123.8,60.0,20.3,8.0,59.3,25.0
데모화학(주),2배출구,2026-04-20,방류수,데모환경분석(주),7.4,26.2,30.0,32.3,40.0,15.8,30.0,13.0,60.0,8.6,8.0,11.3,25.0
데모화학(주),3배출구,2026-03-02,원폐수,데모환경분석(주),7.2,35.4,30.0,29.2,40.0,17.9,30.0,40.1,60.0,1.1,8.0,51.1,25.0
데모화학(주),3배출구,2026-03-02,방류수,데모환경분석(주),8.3,12.1,30.0,35.5,40.0,20.5,30.0,34.3,60.0,6.1,8.0,9.7,25.0
데모화학(주),3배출구,2026-03-09,원폐수,데모환경분석(주),6.8,80.3,30.0,77.7,40.0,52.4,30.0,136.9,60.0,26.0,8.0,63.7,25.0
데모화학(주),3배출구,2026-03-09,방류수,데모환경분석(주),6.9,10.8,30.0,17.8,40.0,19.5,30.0,45.0,60.0,10.5,8.0,30.2,25.0
데모화학(주),3배출구,2026-03-16,원폐수,데모환경분석(주),7.4,71.4,30.0,27.3,40.0,20.6,30.0,61.9,60.0,2.3,8.0,48.2,25.0
데모화학(주),3배출구,2026-03-16,방류수,데모환경분석(주),7.9,34.9,30.0,30.5,40.0,23.8,30.0,23.6,60.0,6.1,8.0,22.8,25.0
데모화학(주),3배출구,2026-03-23,원폐수,데모환경분석(주),8.3,89.7,30.0,88.8,40.0,92.0,30.0,41.9,60.0,22.5,8.0,47.5,25.0
데모화학(주),3배출구,2026-03-23,방류수,데모환경분석(주),6.5,15.5,30.0,23.6,40.0,27.8,30.0,42.2,60.0,1.2,8.0,27.8,25.0
데모화학(주),3배출구,2026-03-30,원폐수,데모환경분석(주),8.3,102.4,30.0,48.4,40.0,78.0,30.0,120.7,60.0,21.8,8.0,70.5,25.0
데모화학(주),3배출구,2026-03-30,방류수,데모환경분석(주),7.2,2.7,30.0,37.0,40.0,13.0,30.0,14.4,60.0,4.4,8.0,21.8,25.0
데모화학(주),3배출구,2026-04-06,원폐수,데모환경분석(주),7.0,104.4,30.0,62.5,40.0,94.0,30.0,32.4,60.0,24.3,8.0,49.6,25.0
데모화학(주),3배출구,2026-04-06,방류수,데모환경분석(주),8.1,13.7,30.0,28.1,40.0,10.7,30.0,40.4,60.0,0.7,8.0,19.9,25.0
데모화학(주),3배출구,2026-04-13,원폐수,데모환경분석(주),7.9,15.8,30.0,83.4,40.0,83.3,30.0,152.4,60.0,24.2,8.0,47.5,25.0
데모화학(주),3배출구,2026-04-13,방류수,데모환경분석(주),6.6,27.3,30.0,15.7,40.0,15.1,30.0,45.6,60.0,2.0,8.0,8.9,25.0
데모화학(주),3배출구,2026-04-20,원폐수,데모환경분석(주),8.3,76.8,30.0,37.6,40.0,65.2,30.0,197.0,60.0,15.8,8.0,47.4,25.0
데모화학(주),3배출구,2026-04-20,방류수,데모환경분석(주),6.7,23.3,30.0,23.2,40.0,6.2,30.0,17.2,60.0,5.4,8.0,18.3,25.0
