code,std_name,name_en,abbr,unit,category,legal_basis,legal_article,legal_effective_from,legal_revision,legal_status,is_toxic_substance,toxic_substance_basis,source_url,review_status,reviewed_by,reviewed_at,note
WQ-016,시안함유량,Cyanide,CN,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제5호(시안화합물),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-017,크롬함유량,Chromium,Cr,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,총크롬. 6가크롬(WQ-018)과 별개
WQ-025,용해성철함유량,Dissolved Iron,Fe,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-024,아연함유량,Zinc,Zn,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-023,구리(동)함유량,Copper,Cu,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제1호(구리와 그 화합물),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,법령 표기에 한자어 '동'이 괄호로 병기됨
WQ-019,카드뮴함유량,Cadmium,Cd,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제8호(카드뮴과 그 화합물),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-020,수은함유량,Mercury,Hg,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제4호(수은과 그 화합물),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-028,유기인함유량,Organophosphorus Compounds,OP,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제6호(유기인 화합물),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-022,비소함유량,Arsenic,As,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제3호(비소와 그 화합물),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-021,납함유량,Lead,Pb,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제2호(납과 그 화합물),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-018,6가크롬함유량,Hexavalent Chromium,Cr6+,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제7호(6가크롬 화합물),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-026,용해성망간함유량,Dissolved Manganese,Mn,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-027,플로오르(불소)함유량,Fluorine (Fluoride),F,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,법령 원문 표기가 '플로오르(불소)'. 초안의 '플루오린'은 법령 표기가 아니므로 동의어로 강등
WQ-029,PCB함유량,Polychlorinated Biphenyls,PCB,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제12호(폴리클로리네이티드바이페닐),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,2019~2020 기준표에서는 '폴리클로리네이티드바이페닐(PCB)함유량'으로 표기 — 동의어 등록
WQ-011,총대장균군,Total Coliforms,TC,군수/㎖,미생물,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,법령 표기: 총대장균군(群)(총대장균군수)(㎖)
WQ-010,색도,Color,-,도,일반,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,섬유염색·펄프 등 일부 시설에만 적용되는 기준
WQ-009,온도,Temperature,-,℃,일반,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,법령 표기는 '온도'. 실데이터는 대부분 '수온'으로 쓴다
WQ-005,총질소,Total Nitrogen,T-N,㎎/L,영양염류,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-006,총인,Total Phosphorus,T-P,㎎/L,영양염류,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-032,트리클로로에틸렌,Trichloroethylene,TCE,㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제10호(트리클로로에틸렌),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-033,테트라클로로에틸렌,Tetrachloroethylene,PCE,㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제9호(테트라클로로에틸렌),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-014,음이온계면활성제,Anionic Surfactants,ABS,㎎/L,일반,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-034,벤젠,Benzene,-,㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제14호(벤젠),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-035,디클로로메탄,Dichloromethane,DCM,㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제16호(디클로로메탄),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-007,생태독성,Ecological Toxicity,TU,TU,생태독성,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,법령 표기: 생태독성(TU). 물벼룩 급성독성시험 기준
WQ-045,셀레늄함유량,Selenium,Se,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제13호(셀레늄과 그 화합물),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-048,사염화탄소,Carbon Tetrachloride,-,㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제15호(사염화탄소),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,초안 누락분
WQ-036,"1,1-디클로로에틸렌","1,1-Dichloroethylene","1,1-DCE",㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,"물환경보전법 시행규칙 별표 3 제17호(1, 1-디클로로에틸렌)",https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-049,"1,2-디클로로에탄","1,2-Dichloroethane","1,2-DCE",㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,"물환경보전법 시행규칙 별표 3 제18호(1, 2-디클로로에탄)",https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,초안 누락분
WQ-037,클로로포름,Chloroform,-,㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제19호(클로로포름),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-050,니켈,Nickel,Ni,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,초안 누락분
WQ-046,바륨,Barium,Ba,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-038,"1,4-다이옥산","1,4-Dioxane",-,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,"물환경보전법 시행규칙 별표 3 제20호(1,4-다이옥산)",https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,"법령 원문은 '1,4-다이옥산'. 초안의 '1,4-다이옥세인'은 법령 표기가 아님 — 동의어로 강등"
WQ-051,디에틸헥실프탈레이트(DEHP),Di-2-ethylhexyl Phthalate,DEHP,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제21호(디에틸헥실프탈레이트(DEHP)),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,초안 누락분
WQ-052,염화비닐,Vinyl Chloride,VC,㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제22호(염화비닐),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,초안 누락분
WQ-040,아크릴로니트릴,Acrylonitrile,AN,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제23호(아크릴로니트릴),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-053,브로모포름,Bromoform,-,㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제24호(브로모포름),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,초안 누락분
WQ-041,나프탈렌,Naphthalene,-,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2016-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제26호(나프탈렌),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-039,폼알데하이드,Formaldehyde,HCHO,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2016-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제27호(폼알데하이드),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,법령 원문은 '폼알데하이드'. 초안의 '포름알데히드'는 법령 표기가 아님 — 동의어로 강등
WQ-054,에피클로로하이드린,Epichlorohydrin,-,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2016-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제28호(에피클로로하이드린),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,초안 누락분
WQ-055,톨루엔,Toluene,-,㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2016-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,초안 누락분
WQ-056,자일렌,Xylene,-,㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2016-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,초안 누락분
WQ-057,퍼클로레이트,Perchlorate,-,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2019-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,초안 누락분. 기초무기화학물질·비철금속 제련 시설은 별도 기준 적용
WQ-043,아크릴아미드,Acrylamide,-,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2019-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제25호(아크릴아미드),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-044,스티렌,Styrene,-,㎎/L,휘발성유기화합물,물환경보전법 시행규칙 별표 13,제34조,2019-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제31호(스티렌),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-058,비스(2-에틸헥실)아디페이트,Bis-2-ethylhexyl Adipate,DEHA,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2019-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제32호(비스(2-에틸헥실)아디페이트),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,초안 누락분
WQ-059,안티몬,Antimony,Sb,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2019-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제33호(안티몬),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,초안 누락분
WQ-047,주석,Tin,Sn,㎎/L,중금속,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-042,폼산,Formic Acid,-,㎎/L,유해물질,,제34조,,개정 2025. 3. 20.,non_statutory,,,,rejected,,,초안(AI 생성)에 있었으나 별표 13 전체(19쪽) 어디에도 없음. 근거 확인 전까지 사용 금지. 코드는 재사용 방지를 위해 남겨 둔다
WQ-060,용존산소량,Dissolved Oxygen,DO,㎎/L,일반,환경정책기본법 시행령 별표 1 환경기준(제2조 관련) — 하천 생활환경 기준,제34조,,개정 2025. 3. 20.,non_statutory,False,,,verified,,,배출허용기준 항목은 아니지만 하천 환경기준의 정식 항목이자 하천 데이터의 핵심 컬럼
WQ-061,클로로필-a,Chlorophyll-a,Chl-a,㎎/㎥,일반,환경정책기본법 시행령 별표 1 환경기준(제2조 관련) — 호소 생활환경 기준,제34조,,개정 2025. 3. 20.,non_statutory,False,,,verified,,,하천 기준에는 없고 '호소' 기준에만 있는 항목. 법령 단위는 ㎎/㎥이나 데이터는 ㎎/L로 오는 경우가 있어 값 해석 시 1000배 차이 주의
WQ-062,전기전도도,Electrical Conductivity,EC,μS/㎝,일반,공공데이터 공통표준용어(ELCD),제34조,,개정 2025. 3. 20.,non_statutory,False,,,draft,,,환경정책기본법 시행령 별표 1 전문 검색 결과 0건 — 환경기준 항목이 아님. 공통표준용어에는 '전기전도도 ELCD'로 등재. 측정 근거는 수질오염공정시험기준에서 재확인 필요
WQ-063,분원성대장균군,Fecal Coliforms,FC,군수/100mL,미생물,환경정책기본법 시행령 별표 1 환경기준(제2조 관련) — 하천 생활환경 기준,제34조,,개정 2025. 3. 20.,non_statutory,False,,,verified,,,환경기준 단위는 군수/100mL. 별표 13의 총대장균군은 군수/㎖ — 단위 기준이 서로 다르다
WQ-064,암모니아성 질소,Ammonia Nitrogen,NH3-N,㎎/L,영양염류,먹는물 수질기준 및 검사 등에 관한 규칙 별표 1(제2조 관련) 제2호 아목,제34조,,개정 2025. 3. 20.,non_statutory,False,,,verified,,,기준 0.5㎎/L. 법령 표기에 공백이 있다('암모니아성 질소')
WQ-065,질산성 질소,Nitrate Nitrogen,NO3-N,㎎/L,영양염류,먹는물 수질기준 및 검사 등에 관한 규칙 별표 1(제2조 관련) 제2호 자목,제34조,,개정 2025. 3. 20.,non_statutory,False,,,verified,,,기준 10㎎/L. 법령 표기에 공백이 있다('질산성 질소')
WQ-066,인산염 인,Phosphate Phosphorus,PO4-P,㎎/L,영양염류,수질오염공정시험기준,제34조,,개정 2025. 3. 20.,non_statutory,False,,,draft,,,
WQ-067,용존총질소,Dissolved Total Nitrogen,DTN,㎎/L,영양염류,수질오염공정시험기준,제34조,,개정 2025. 3. 20.,non_statutory,False,,,draft,,,
WQ-068,용존총인,Dissolved Total Phosphorus,DTP,㎎/L,영양염류,수질오염공정시험기준,제34조,,개정 2025. 3. 20.,non_statutory,False,,,draft,,,
WQ-069,탁도,Turbidity,NTU,NTU,일반,먹는물 수질기준 및 검사 등에 관한 규칙 별표 1(제2조 관련) 제5호 파목,제34조,,개정 2025. 3. 20.,non_statutory,False,,,verified,,,"기준 1NTU, 수돗물은 0.5NTU. 정수장은 수도법 시행규칙 별표 5의3이 별도 기준(0.3NTU)을 둔다"
WQ-070,잔류염소(유리잔류염소를 말한다),Residual Chlorine (Free),-,㎎/L,일반,먹는물 수질기준 및 검사 등에 관한 규칙 별표 1(제2조 관련) 제4호 가목,제34조,,개정 2025. 3. 20.,non_statutory,False,,,verified,,,"괄호 정의문까지가 법령상 항목명이다. 상한 4.0㎎/L는 이 규칙, 하한 0.1㎎/L는 수도법 시행규칙 제22조의2제1항제3호 — '수돗물 0.1~4.0'은 단일 조문이 아니라 두 규칙의 합성이다"
WQ-071,일반세균,Heterotrophic Plate Count,-,CFU/mL,미생물,먹는물 수질기준 및 검사 등에 관한 규칙 별표 1(제2조 관련) 제1호 가목,제34조,,개정 2025. 3. 20.,non_statutory,False,,,verified,,,기준 100CFU/mL. 샘물·염지하수는 저온일반세균/중온일반세균으로 나뉜다
WQ-072,과망간산칼륨 소비량,Potassium Permanganate Consumption,-,㎎/L,유기물,먹는물 수질기준 및 검사 등에 관한 규칙 별표 1(제2조 관련) 제5호 나목,제34조,,개정 2025. 3. 20.,non_statutory,False,,,verified,,,기준 10㎎/L. 법령 표기에 공백이 있다('과망간산칼륨 소비량')
WQ-073,투명도,Transparency,-,m,일반,수질오염공정시험기준,제34조,,개정 2025. 3. 20.,non_statutory,False,,,draft,,,국립환경과학원 API 명세는 단위를 ㎎/L로 적어 두었으나 실제로는 길이 단위 — 명세 오류로 보임
WQ-074,수위,Water Level,-,m,수문,,제34조,,개정 2025. 3. 20.,non_statutory,False,,,draft,,,수질 항목이 아니라 수문 관측값
WQ-075,유량,Flow Rate,-,㎥/s,수문,,제34조,,개정 2025. 3. 20.,non_statutory,False,,,draft,,,
WQ-076,헥사클로로벤젠,Hexachlorobenzene,HCB,㎎/L,유해물질,환경정책기본법 시행령 별표 1 환경기준(제2조 관련) — 하천 사람의 건강보호 기준,제34조,,개정 2025. 3. 20.,non_statutory,False,,,verified,,,별표 13 배출허용기준에는 없고 환경기준(사람의 건강보호)에 있는 항목. 국립환경과학원 API의 itemHcb가 여기에 대응한다
