해당연도,하천명,구분,시료채취일,온도,수소이온농도,생물화학적산소요구량,화학적산소요구량,총 유기탄소,부유물질,용존산소,총인,총대장균군,분원성대장균군,생태독성(TU),관련부서,데이터기준일자
2024,강정천,4분기,2024-11-14,17.1,7.4,0.2,0.2,0.5,0.2,9.8,0.056,560,86,0,보건환경연구원,2024-12-16
2024,대왕수천,4분기,2024-11-14,19.1,7.1,0.3,0.7,1,9.6,9.7,0.066,3400,100,0,보건환경연구원,2024-12-16
2024,동홍천,4분기,2024-11-14,18.8,6.9,0.1,0.2,0.5,0.2,10.1,0.083,230,42,0,보건환경연구원,2024-12-16
2024,산지천,4분기,2024-11-14,16.2,7.1,0.4,0.8,0.6,0.4,9.3,0.102,380,42,0,보건환경연구원,2024-12-16
2024,악근천,4분기,2024-11-14,18.3,7,0.3,0.3,0.6,0.2,10.2,0.063,960,43,0,보건환경연구원,2024-12-16
2024,연외천,4분기,2024-11-14,17.1,7.2,0.1,0.3,0.5,0.7,9.9,0.083,2000,64,0,보건환경연구원,2024-12-16
2024,예래천,4분기,2024-11-14,19.5,7.8,0.3,0.7,1,1.8,10.5,0.046,2500,420,0,보건환경연구원,2024-12-16
2024,옹포천,4분기,2024-11-14,18.7,7.5,0.1,0.7,1,1.1,9.8,0.086,2600,480,0,보건환경연구원,2024-12-16
2024,외도천,4분기,2024-11-14,16.6,7.3,0.3,0.4,0.6,0.4,10.4,0.071,270,48,0,보건환경연구원,2024-12-16
2024,중문천,4분기,2024-11-14,17.6,7.8,0.6,0.4,0.8,0.9,10.2,0.057,3900,360,0,보건환경연구원,2024-12-16
2024,창고천,4분기,2024-11-14,18.2,7.4,0.2,0.8,1.3,2.9,10.3,0.035,370,42,0,보건환경연구원,2024-12-16
2024,효돈천,4분기,2024-11-14,16.2,7,0.2,0.2,0.7,0.1,10,0.07,220,47,0,보건환경연구원,2024-12-16
