번호,공동시설명,검사여부,미검사사유,검사일자,검사결과,일반세균 중온,총대장균군,분원성대장균군,암모니아성 질소,질산성 질소,과망간산칼륨소비량
42,동래구 금병,검사,,2025-11-18,적합,0,불검출,불검출,불검출,1.4,0.4
43,동래구 쌍암,검사,,2025-11-18,적합,2,불검출,불검출,불검출,1.4,0.4
44,동래구 사적공원,검사,,2025-11-18,적합,1,불검출,불검출,불검출,0.2,0.5
45,동래구 철학로,검사,,2025-11-18,적합,0,불검출,불검출,불검출,3.7,불검출
46,부산진구 옥천,검사,,2025-11-24,적합,0,불검출,불검출,불검출,0.9,불검출
47,부산진구 양정,검사,,2025-11-24,적합,0,불검출,불검출,불검출,5.3,0.4
48,부산진구 선암사,검사,,2025-11-17,적합,1,불검출,불검출,불검출,3.3,불검출
49,부산진구 고산,검사,,2025-11-17,적합,3,불검출,불검출,불검출,0.7,0.6
50,부산진구 옥수,검사,,2025-11-17,적합,0,불검출,불검출,불검출,1.3,2.3
51,부산진구 금련암,검사,,2025-11-24,적합,0,불검출,불검출,불검출,3.4,불검출
52,부산진구 백선,검사,,2025-11-17,적합,0,불검출,불검출,불검출,1.1,0.8
53,부산진구 가야산,검사,,2025-11-18,적합,0,불검출,불검출,불검출,1.2,1.8
54,부산진구 엄광산,검사,,2025-11-18,적합,0,불검출,불검출,불검출,1.8,0.5
55,부산진구 가남,검사,,2025-11-18,부적합,50,검출,검출,불검출,3.3,불검출
56,북구 벽산,검사,,2025-10-30,적합,0,불검출,불검출,불검출,2,0.5
57,북구 백양산동네체육공원,검사,,2025-10-30,적합,0,불검출,불검출,불검출,1.4,0.6
58,북구 백만정,검사,,2025-11-12,적합,0,불검출,불검출,불검출,1.3,0.3
59,북구 만수정,검사,,2025-11-12,적합,4,불검출,불검출,불검출,1.3,0.3
60,북구 백수정,검사,,2025-11-12,적합,0,불검출,불검출,불검출,1.6,불검출
61,북구 삼정,검사,,2025-10-29,적합,0,불검출,불검출,불검출,0.6,0.7
62,북구 병풍사,검사,,2025-10-30,적합,0,불검출,불검출,불검출,2.9,0.4
63,북구 만수천,검사,,2025-10-29,적합,0,불검출,불검출,불검출,0.1,0.5
64,북구 상학산,검사,,2025-10-29,적합,0,불검출,불검출,불검출,0.2,0.8
65,북구 도개공,검사,,2025-10-29,적합,0,불검출,불검출,불검출,0.9,0.6
66,북구 금곡,검사,,2025-11-12,적합,0,불검출,불검출,불검출,0.4,0.3
67,북구 선강(하),검사,,2025-10-30,적합,0,불검출,불검출,불검출,1.7,0.5
68,북구 선강(천),검사,,2025-10-30,적합,0,불검출,불검출,불검출,1.5,0.3
69,사상구 이칠,검사,,2025-12-02,적합,0,불검출,불검출,불검출,1,0.5
70,사상구 서당골,검사,,2025-12-02,적합,0,불검출,불검출,불검출,1.8,0.3
71,사상구 탑골,검사,,2025-12-01,적합,0,불검출,불검출,불검출,1.9,0.3
72,사상구 삼각산,검사,,2025-12-01,적합,0,불검출,불검출,불검출,2.1,0.3
73,사상구 건강,검사,,2025-12-01,적합,0,불검출,불검출,불검출,1.4,0.3
74,사상구 백양골,검사,,2025-12-30,부적합,0,검출,검출,불검출,1.8,0.9
75,사상구 백양정,검사,,2025-12-01,적합,0,불검출,불검출,불검출,1.6,0.3
76,사상구 승록정,검사,,2025-12-01,적합,0,불검출,불검출,불검출,1.6,0.4
77,사상구 복천,검사,,2025-12-01,적합,0,불검출,불검출,불검출,1.9,0.4
78,사상구 백련,검사,,2025-12-01,적합,0,불검출,불검출,불검출,1.5,0.3
79,사상구 불심,검사,,2025-12-01,적합,0,불검출,불검출,불검출,1.7,0
80,사상구 승학(엄궁),검사,,2025-12-01,적합,0,불검출,불검출,불검출,1.8,0.3
81,사상구 거북,검사,,2025-12-02,적합,0,불검출,불검출,불검출,0.8,0.4
82,사상구 삼운정,검사,,2025-12-01,적합,0,불검출,불검출,불검출,1.5,0.4
83,사상구 운수사,검사,,2025-12-02,적합,0,불검출,불검출,불검출,0.7,0.4
84,사상구 백수,검사,,2025-12-01,적합,0,불검출,불검출,불검출,1.4,0.3
85,사상구 청수,검사,,2025-12-01,적합,0,불검출,불검출,불검출,1.9,0.4
86,사상구 승학(학장),검사,,2025-12-02,적합,0,불검출,불검출,불검출,0.9,0.4
87,사상구 사상,검사,,2025-12-01,적합,0,불검출,불검출,불검출,1.4,0.5
88,사하구 장수천,검사,,2025-11-18,적합,0,불검출,불검출,불검출,0.7,0.5
89,사하구 싸리골,검사,,2025-11-18,적합,0,불검출,불검출,불검출,0.1,0.4
90,사하구 장수탑,검사,,2025-11-18,적합,0,불검출,불검출,불검출,0.4,불검출
91,사하구 돌샘,검사,,2025-11-18,적합,0,불검출,불검출,불검출,1.2,0.3
92,사하구 한샘,검사,,2025-11-18,적합,0,불검출,불검출,불검출,0.6,0.3
93,사하구 마우골,검사,,2025-11-05,적합,0,불검출,불검출,불검출,2.6,0.3
94,사하구 석천,검사,,2025-11-18,적합,0,불검출,불검출,불검출,2.2,0.3
95,사하구 옹달샘,검사,,2025-11-05,적합,0,불검출,불검출,불검출,2,0.4
96,사하구 승학,검사,,2025-11-18,적합,1,불검출,불검출,불검출,0.4,0.4
97,사하구 정각사,검사,,2025-11-05,적합,0,불검출,불검출,불검출,0.7,불검출
98,사하구 몰운대,검사,,2025-11-05,적합,0,불검출,불검출,불검출,0.5,0.4
99,사하구 보덕포,검사,,2025-11-05,적합,0,불검출,불검출,불검출,1.5,불검출
100,사하구 천마산,검사,,2025-11-05,적합,0,불검출,불검출,불검출,1.7,0.3
101,사하구 김종수공동우물,검사,,2025-11-05,적합,0,불검출,불검출,불검출,3.7,불검출
102,서구 서대신동 꽃마을,검사,,2025-12-10,적합,0,불검출,불검출,불검출,2.1,0.6
103,서구 중앙공원민속관,검사,,2025-12-10,적합,0,불검출,불검출,불검출,0.6,0.5
104,서구 중앙공원석탑,검사,,2025-12-10,적합,0,불검출,불검출,불검출,1,0.3
105,서구 중앙공원구이,검사,,2025-12-10,적합,0,불검출,불검출,불검출,1,0.4
106,서구 중앙공원옥천,검사,,2025-12-10,적합,0,불검출,불검출,불검출,1,0.3
107,서구 중앙공원팔각정,검사,,2025-12-10,적합,0,불검출,불검출,불검출,0.9,0.3
108,서구 남부민동 천마정,검사,,2025-12-10,적합,0,불검출,불검출,불검출,1.6,0.3
109,수영구 얼음골,검사,,2025-10-28,적합,0,불검출,불검출,불검출,2.4,0.6
110,수영구 삼성,검사,,2025-10-28,적합,0,불검출,불검출,불검출,4.7,0.6
111,수영구 조광,미검사,수량부족,2025-10-01,,,,,,,
112,수영구 양지,검사,,2025-10-28,적합,0,불검출,불검출,불검출,3.4,0.7
113,수영구 얼음골(하),검사,,2025-10-28,적합,49,불검출,불검출,불검출,3.3,0.7
114,연제구 봉수대,검사,,2025-11-17,적합,0,불검출,불검출,불검출,4.5,0.6
115,연제구 함박골,검사,,2025-11-17,적합,0,불검출,불검출,불검출,2,0.5
116,연제구 황금,검사,,2025-11-17,적합,0,불검출,불검출,불검출,3.6,0.4
117,영도구 산정,검사,,2025-11-26,적합,9,불검출,불검출,불검출,1.1,0.5
118,영도구 봉산,검사,,2025-11-26,적합,6,불검출,불검출,불검출,1,2.6
119,영도구 청봉,검사,,2025-11-26,적합,36,불검출,불검출,불검출,1.7,0.3
120,영도구 미륵암,검사,,2025-11-26,적합,92,불검출,불검출,불검출,1.5,0.5
121,영도구 신흥,검사,,2025-11-26,적합,89,불검출,불검출,불검출,1.5,0.6
122,영도구 모천,검사,,2025-11-26,적합,0,불검출,불검출,불검출,1.6,0.5
123,영도구 복천사,검사,,2025-11-26,적합,91,불검출,불검출,불검출,1.8,0.7
124,해운대구 체육공원,검사,,2025-10-29,적합,0,불검출,불검출,불검출,3.3,0.6
125,해운대구 초록공원,검사,,2025-11-18,적합,0,불검출,불검출,불검출,1.5,0.5
126,해운대구 장산,검사,,2025-11-18,적합,0,불검출,불검출,불검출,0.5,0.3
127,해운대구 장천사,검사,,2025-11-18,적합,0,불검출,불검출,불검출,0.4,0.5
128,해운대구 체육공원내,검사,,2025-11-12,적합,0,불검출,불검출,불검출,0.3,0.5
129,해운대구 옥천사,검사,,2025-11-11,적합,0,불검출,불검출,불검출,1.1,0.4
130,해운대구 고씨제당,검사,,2025-11-11,적합,0,불검출,불검출,불검출,0.6,0.5
131,해운대구 장산제일,검사,,2025-11-12,적합,0,불검출,불검출,불검출,0.3,불검출
132,해운대구 장산산림욕장,검사,,2025-10-29,적합,0,불검출,불검출,불검출,0.5,불검출
133,해운대구 초록공원위,검사,,2025-11-18,적합,0,불검출,불검출,불검출,1.2,0.4
